Var.1,Days 3-6 (Main),Day 3,Days 0-6,Days 6-9
Vaccine-derived immunity Any,"0.778 (0.694, 0.872)","0.775 (0.694, 0.865)","0.776 (0.689, 0.874)","0.785 (0.703, 0.876)"
By dose Partial vaccination,"0.925 (0.891, 0.96)","0.924 (0.892, 0.958)","0.929 (0.894, 0.965)","0.93 (0.898, 0.964)"
Primary series alone,"0.856 (0.824, 0.888)","0.854 (0.824, 0.885)","0.863 (0.83, 0.897)","0.866 (0.835, 0.897)"
One booster,"0.791 (0.763, 0.821)","0.79 (0.762, 0.818)","0.801 (0.771, 0.833)","0.805 (0.777, 0.835)"
Two or more boosters,"0.732 (0.705, 0.76)","0.73 (0.704, 0.757)","0.744 (0.716, 0.774)","0.749 (0.723, 0.777)"
By time <3 months,"0.703 (0.619, 0.798)","0.712 (0.63, 0.805)","0.707 (0.619, 0.806)","0.71 (0.628, 0.803)"
3 to <6 months,"0.871 (0.749, 1.01)","0.848 (0.734, 0.979)","0.875 (0.748, 1.02)","0.867 (0.75, 1)"
6 to <12 months,"0.83 (0.727, 0.949)","0.816 (0.718, 0.927)","0.82 (0.714, 0.942)","0.849 (0.746, 0.965)"
12+ months,"0.82 (0.671, 1)","0.817 (0.674, 0.99)","0.821 (0.667, 1.01)","0.801 (0.659, 0.975)"
Infection-acquired immunity Any,"0.841 (0.773, 0.915)","0.841 (0.775, 0.912)","0.882 (0.808, 0.963)","0.847 (0.779, 0.92)"
By time <3 months,"0.628 (0.451, 0.875)","0.665 (0.499, 0.886)","0.688 (0.489, 0.969)","0.738 (0.514, 1.06)"
3 to <6 months,"0.616 (0.476, 0.796)","0.656 (0.513, 0.839)","0.659 (0.504, 0.861)","0.631 (0.491, 0.812)"
6 to <12 months,"0.746 (0.619, 0.898)","0.805 (0.673, 0.963)","0.767 (0.634, 0.928)","0.724 (0.603, 0.869)"
12+ months,"0.884 (0.808, 0.967)","0.872 (0.8, 0.951)","0.928 (0.846, 1.02)","0.888 (0.814, 0.969)"
